M_axial force,M_BM_X,M_BM_Y,M_Torosion_z,M_Channel1,M_channel2,M_spindlepow,M_spindlecurr,SK1,SK2,SK3,SK4,SK5,SK6,SK7,SK8,SD_AXIAL,SD_bm_X,Sd_bm_y,sd_torsion,sd_ch1,sd_ch2,sd_sppow,sd_spcurre,K_axialforce,k_bm_x,k_bm_y,k_torsion,k_ch1,k_ch2,k_sppow,k_spcurre,target
150.73,1.0936,-22.499,22.779,4.057,4.2318,2.4841,1.0227,150.73,1.0936,-22.499,22.779,4.057,4.2318,2.4841,1.0227,150.73,1.0936,-22.499,22.779,4.057,4.2318,2.4841,1.0227,150.73,1.0936,-22.499,22.779,4.057,4.2318,2.4841,1.0227,normal
162.065538,1.433294277,-18.00427367,10.10644463,2.114119667,2.470021333,2.272916,0.972054,0.004498408,-0.304174953,0.192818019,-0.214843721,0.763710563,0.70646506,-0.23449299,-0.524771275,0.26030503,0.209763744,-1.143851025,-0.819241735,4.226897507,4.140614388,-1.814062354,-1.205633163,180.9056494,2.226193403,24.3505887,26.87663162,3.609042173,3.682771582,0.195252722,0.067077394,normal
188.19096,0.93451696,-9.444355043,10.85053167,1.808268333,2.143911333,2.286349333,-0.921205667,-0.118979942,-0.376670793,-0.249161252,-0.177501307,0.00217581,-0.003972719,0.762168452,1.117851453,-0.132831365,0.409314888,-0.736196945,-0.213175948,-0.123131341,-0.131637717,-0.332605819,-0.749978592,180.6649389,2.067530066,25.33813646,23.18193805,5.648299485,5.813379943,0.249129829,1.197876852,normal
230.2029273,0.12523081,-5.2766224,7.720852333,1.964564,2.298225,2.093268667,-1.638720333,-0.125422024,-0.68980493,-0.93760705,-0.039657984,0.140961944,0.157784784,0.184202468,-0.28151284,0.225278024,0.613520723,0.249301322,-1.118180245,-0.775949126,-0.787813759,-1.795307396,-1.80325007,175.8423069,2.016403434,17.49324854,16.81390333,6.503650282,6.692080536,0.129768744,0.079544306,normal
177.8078213,1.19484138,-13.73752032,12.78247123,1.604383667,1.950010333,2.093751333,-1.777645,-0.029606915,-0.535148432,-0.071902849,-0.326465486,-0.051001715,-0.054964818,0.34887656,-0.001904617,-0.09412054,0.476396137,-1.020645204,-0.566657137,-1.382147317,-1.37032903,-1.515747532,-1.528070303,183.7935782,2.121249018,26.62453925,26.6358596,5.027313936,5.133803291,0.098083421,0.188360475,normal
207.2352333,0.045461137,-4.52288698,8.7580065,1.759515,2.109426333,2.163107667,-1.674435,-0.221526289,-0.276090335,-0.595658222,0.590172253,-0.213412543,-0.256739339,-0.781730196,-0.447326915,0.082133206,0.20365344,0.954638342,0.603021972,-0.238974033,-0.214896562,-1.009628256,-1.668733363,183.1431763,2.153309654,17.67086979,17.75360614,4.450303455,4.567776821,0.114713983,0.159017697,normal
227.427472,-0.03816743,-5.13873633,6.552413867,1.773571333,2.117519,1.976282333,-0.938037,-0.182046041,-0.444597235,-1.228540468,0.445567345,0.086821057,0.097945273,1.689164542,-2.477822623,0.154339289,0.188924837,1.219034082,-0.975250691,-0.469556856,-0.502512132,2.417938633,4.649032715,179.8050728,2.026344682,16.41206979,15.03487582,5.525842674,5.700714814,0.077981774,0.2872529,normal
225.6092647,0.006003257,-5.241881793,10.2339505,1.608051333,1.953468333,2.018018333,-0.547261,0.003555902,-0.615895299,-0.972894818,0.039512194,0.098676715,0.122591393,-2.242229651,2.267242425,-0.227579562,1.068346787,0.178853291,-1.370372258,-1.055633814,-1.062232119,3.164134999,3.23295496,185.1030374,2.107764582,17.86290069,15.20744121,4.569309443,4.690417258,0.114582194,0.796440195,normal
199.9623493,0.08748777,-7.175188687,9.731570867,1.863023667,2.218564667,1.871332,1.553665333,0.175875468,-0.705259329,-0.816910725,-0.223008905,-0.205798717,-0.21081281,-0.856508879,0.977946354,-0.331114236,1.04377828,-0.362945568,-1.202015156,-1.227959567,-1.173775156,-0.303588675,2.196523089,176.5791838,2.1879269,20.02276181,18.39279214,2.808296541,2.909391465,0.07508767,0.055389254,normal
184.5065433,0.744095953,-9.635150747,13.321015,1.766245667,2.111324667,1.729496,1.614191333,-0.009947893,-0.337695586,-0.407814438,-0.33198996,0.035797246,0.035296932,-0.706757935,-0.930383307,-0.082988627,0.405074905,-0.914069102,-0.608716242,-1.069707879,-1.100515038,-0.790442826,-0.550053611,186.6371471,2.159508884,26.37232034,25.08842178,4.13114361,4.281639199,0.043293518,0.128072431,normal
184.9376513,0.68190778,-9.546007,9.935173933,1.7325,2.06731,1.817523333,1.590415333,-0.081551045,-0.41431516,-0.340848507,0.004427411,0.204695335,0.237172743,1.302961844,0.107950961,-0.098978274,0.64576268,-0.401428419,-0.130631149,-0.868350827,-0.872723568,1.087654011,-0.653081664,181.0944592,2.212358155,22.42152455,24.03842184,4.350733985,4.489427961,0.07086337,0.039246095,normal
